Runyoro,English
to become narrower,Okubumbama
I become narrower,Mbumbama
he/she become narrowers,Abumbama
I have become narrowered,Mbumbamire
become narrower!,Bumbama
I don't become narrower,Timbumbama
to move while bending,Okubundabunda
I move while bending,Mbundabunda
he/she move while bendings,Abundabunda
I have move while bendinged,Mbundabundire
move while bending!,Bundabunda
I don't move while bending,Timbundabunda
to bend low,Okubundama
I bend low,Mbundama
he/she bend lows,Abundama
I have bend lowed,Mbundamire
bend low!,Bundama
I don't bend low,Timbundama
to defecate,Okubungurura
I defecate,Mbungurura
he/she defecates,Abungurura
I have defecated,Mbunguruzire
defecate!,Bungurura
I don't defecate,Timbungurura
to hawk,Okubungeza
I hawk,Mbungeza
he/she hawks,Abungeza
I have hawked,Mbungezire
hawk!,Bungeza
I don't hawk,Timbungeza
to be naked,Okubunuza
I be naked,Mbunuza
he/she be nakeds,Abunuza
I have be nakeded,Mbunuzire
be naked!,Bunuza
I don't be naked,Timbunuza
to hawk or peddle,Okubunza
I hawk or peddle,Mbunza
he/she hawk or peddles,Abunza
I have hawk or peddled,Mbunzire
hawk or peddle!,Bunza
I don't hawk or peddle,Timbunza
to disappear,Okuburabura
I disappear,Mburabura
he/she disappears,Aburabura
I have disappeared,Mburabuzire
disappear!,Burabura
I don't disappear,Timburabura
to confuse,Okuburabuza
I confuse,Mburabuza
he/she confuses,Aburabuza
I have confused,Mburabuzire
confuse!,Burabuza
I don't confuse,Timburabuza
to be uncoordinated,Okubusukana
I be uncoordinated,Mbusukana
he/she be uncoordinateds,Abusukana
I have be uncoordinateded,Mbusukanire
be uncoordinated!,Busukana
I don't be uncoordinated,Timbusukana
to report,Okubuura
I report,Mbuura
he/she reports,Abuura
I have reported,Mbuuzire
report!,Buura
I don't report,Timbuura
to investigate or examine,Okubuuririza
I investigate or examine,Mbuuririza
he/she investigate or examines,Abuuririza
I have investigate or examined,Mbuuririzire
investigate or examine!,Buuririza
I don't investigate or examine,Timbuuririza
to ask a question,Okubuuza.
I ask a question,Mbuuza.
he/she ask a questions,Abuuza.
I have ask a questioned,Mbuuza.ire
ask a question!,Buuza.
I don't ask a question,Timbuuza.
to be asked,Okubuuzibwa
I be asked,Mbuuzibwa
he/she be askeds,Abuuzibwa
I have be askeded,Mbuuzibwire
be asked!,Buuzibwa
I don't be asked,Timbuuzibwa
to sit an examination,Okubuuzibwa
I sit an examination,Mbuuzibwa
he/she sit an examinations,Abuuzibwa
I have sit an examinationed,Mbuuzibwire
sit an examination!,Buuzibwa
I don't sit an examination,Timbuuzibwa
to loiter,Okubuyabuya
I loiter,Mbuyabuya
he/she loiters,Abuyabuya
I have loitered,Mbuyabuyire
loiter!,Buyabuya
I don't loiter,Timbuyabuya
to leave in suspense,Okubuyanga
I leave in suspense,Mbuyanga
he/she leave in suspenses,Abuyanga
I have leave in suspensed,Mbuyangire
leave in suspense!,Buyanga
I don't leave in suspense,Timbuyanga
to disappear without trace,Okubuza-amaiso
I disappear without trace,Mbuza-amaiso
he/she disappear without traces,Abuza-amaiso
I have disappear without traced,Mbuza-amaisoire
disappear without trace!,Buza-amaiso
I don't disappear without trace,Timbuza-amaiso
to spread a message,Okubuzya
I spread a message,Mbuzya
he/she spread a messages,Abuzya
I have spread a messaged,Mbuzyire
spread a message!,Buzya
I don't spread a message,Timbuzya
to suck,Okubwaguza
I suck,Mbwaguza
he/she sucks,Abwaguza
I have sucked,Mbwaguzire
suck!,Bwaguza
I don't suck,Timbwaguza
to be disorganised,Okubwanabwana
I be disorganised,Mbwanabwana
he/she be disorganiseds,Abwanabwana
I have be disorganiseded,Mbwanabwanire
be disorganised!,Bwanabwana
I don't be disorganised,Timbwanabwana
to work alone,Okubweijana
I work alone,Mbweijana
he/she work alones,Abweijana
I have work aloned,Mbweijanire
work alone!,Bweijana
I don't work alone,Timbweijana
to be shy,Okubwerabwera
I be shy,Mbwerabwera
he/she be shies,Abwerabwera
I have be shied,Mbwerabwezire
be shy!,Bwerabwera
I don't be shy,Timbwerabwera
to expose someone's lies,Okubweza
I expose someone's lies,Mbweza
he/she expose someone's lieses,Abweza
I have expose someone's liesed,Mbwezire
expose someone's lies!,Bweza
I don't expose someone's lies,Timbweza
to sleep,Okubyama
I sleep,Mbyama
he/she sleeps,Abyama
I have sleeped,Mbyamire
sleep!,Byama
I don't sleep,Timbyama
to delay in bed,Okubyamirira
I delay in bed,Mbyamirira
he/she delay in beds,Abyamirira
I have delay in beded,Mbyamirizire
delay in bed!,Byamirira
I don't delay in bed,Timbyamirira
to persist,Okubyamirira
I persist,Mbyamirira
he/she persists,Abyamirira
I have persisted,Mbyamirizire
persist!,Byamirira
I don't persist,Timbyamirira
to plant,Okubyara
I plant,Mbyara
he/she plants,Abyara
I have planted,Mbyazire
plant!,Byara
I don't plant,Timbyara
to gulp,Okucaabiika
I gulp,Ncaabiika
he/she gulps,Acaabiika
I have gulped,Ncaabiikire
gulp!,Caabiika
I don't gulp,Tincaabiika
to slice,Okucaca
I slice,Ncaca
he/she slices,Acaca
I have sliced,Ncacire
slice!,Caca
I don't slice,Tincaca
to overheat,Okucamuka
I overheat,Ncamuka
he/she overheats,Acamuka
I have overheated,Ncamukire
overheat!,Camuka
I don't overheat,Tincamuka
to shuffle,Okucanga
I shuffle,Ncanga
he/she shuffles,Acanga
I have shuffled,Ncangire
shuffle!,Canga
I don't shuffle,Tincanga
to mash,Okuceba
I mash,Nceba
he/she mashes,Aceba
I have mashed,Ncebire
mash!,Ceba
I don't mash,Tinceba
to become humble,Okucebeeka
I become humble,Ncebeeka
he/she become humbles,Acebeeka
I have become humbled,Ncebeekire
become humble!,Cebeeka
I don't become humble,Tincebeeka
to be silent,Okuceceka
I be silent,Nceceka
he/she be silents,Aceceka
I have be silented,Ncecekire
be silent!,Ceceka
I don't be silent,Tinceceka
to slice,Okucecemba
I slice,Ncecemba
he/she slices,Acecemba
I have sliced,Ncecembire
slice!,Cecemba
I don't slice,Tincecemba
to night dance,Okucecera
I night dance,Ncecera
he/she night dances,Acecera
I have night danced,Ncecezire
night dance!,Cecera
I don't night dance,Tincecera
to sieve,Okucencura
I sieve,Ncencura
he/she sieves,Acencura
I have sieved,Ncencuzire
sieve!,Cencura
I don't sieve,Tincencura
to burn,Okucenya
I burn,Ncenya
he/she burns,Acenya
I have burned,Ncenyire
burn!,Cenya
I don't burn,Tincenya
to be red hot,Okucenyuka
I be red hot,Ncenyuka
he/she be red hots,Acenyuka
I have be red hoted,Ncenyukire
be red hot!,Cenyuka
I don't be red hot,Tincenyuka
to rust,Okucereba
I rust,Ncereba
he/she rusts,Acereba
I have rusted,Ncerebire
rust!,Cereba
I don't rust,Tincereba
to sever,Okucerembura
I sever,Ncerembura
he/she severs,Acerembura
I have severed,Ncerembuzire
sever!,Cerembura
I don't sever,Tincerembura
to mince,Okucerembura
I mince,Ncerembura
he/she minces,Acerembura
I have minced,Ncerembuzire
mince!,Cerembura
I don't mince,Tincerembura
to peck,Okucokora
I peck,Ncokora
he/she pecks,Acokora
I have pecked,Ncokozire
peck!,Cokora
I don't peck,Tincokora
ticking of a clock,Okuconcana
to become a destitute,Okuconcoboza
I become a destitute,Nconcoboza
he/she become a destitutes,Aconcoboza
I have become a destituted,Nconcobozire
become a destitute!,Concoboza
I don't become a destitute,Tinconcoboza
to confer with secretly,Okuconya
I confer with secretly,Nconya
he/she confer with secretlies,Aconya
I have confer with secretlied,Nconyire
confer with secretly!,Conya
I don't confer with secretly,Tinconya
to hatch a plot,Okuconya
I hatch a plot,Nconya
he/she hatch a plots,Aconya
I have hatch a ploted,Nconyire
hatch a plot!,Conya
I don't hatch a plot,Tinconya
to express oneself idiomatically,Okucooboora
I express oneself idiomatically,Ncooboora
he/she express oneself idiomaticallies,Acooboora
I have express oneself idiomaticallied,Ncooboozire
express oneself idiomatically!,Cooboora
I don't express oneself idiomatically,Tincooboora
to slice something,Okucoocoora
I slice something,Ncoocoora
he/she slice somethings,Acoocoora
I have slice somethinged,Ncoocoozire
slice something!,Coocoora
I don't slice something,Tincoocoora
to decorate,Okucooka
I decorate,Ncooka
he/she decorates,Acooka
I have decorated,Ncookire
decorate!,Cooka
I don't decorate,Tincooka
to select,Okucooka
I select,Ncooka
he/she selects,Acooka
I have selected,Ncookire
select!,Cooka
I don't select,Tincooka
to repent,Okucucuka
I repent,Ncucuka
he/she repents,Acucuka
I have repented,Ncucukire
repent!,Cucuka
I don't repent,Tincucuka
to feel feverish,Okucucumwa
I feel feverish,Ncucumwa
he/she feel feverishes,Acucumwa
I have feel feverished,Ncucumwire
feel feverish!,Cucumwa
I don't feel feverish,Tincucumwa
to have diarrhoea,Okucugura
I have diarrhoea,Ncugura
he/she have diarrhoeas,Acugura
I have have diarrhoeaed,Ncuguzire
have diarrhoea!,Cugura
I don't have diarrhoea,Tincugura
to scrach or burrow,Okucukura
I scrach or burrow,Ncukura
he/she scrach or burrows,Acukura
I have scrach or burrowed,Ncukuzire
scrach or burrow!,Cukura
I don't scrach or burrow,Tincukura
to clean,Okucuma
I clean,Ncuma
he/she cleans,Acuma
I have cleaned,Ncumire
clean!,Cuma
I don't clean,Tincuma
to beat intensely,Okucumanga
I beat intensely,Ncumanga
he/she beat intenselies,Acumanga
I have beat intenselied,Ncumangire
beat intensely!,Cumanga
I don't beat intensely,Tincumanga
to gather before rain,Okucumbacumba
I gather before rain,Ncumbacumba
he/she gather before rains,Acumbacumba
I have gather before rained,Ncumbacumbire
gather before rain!,Cumbacumba
I don't gather before rain,Tincumbacumba
to limp,Okucumbagira
I limp,Ncumbagira
he/she limps,Acumbagira
I have limped,Ncumbagizire
limp!,Cumbagira
I don't limp,Tincumbagira
to go up,Okucumbuuka
I go up,Ncumbuuka
he/she go ups,Acumbuuka
I have go uped,Ncumbuukire
go up!,Cumbuuka
I don't go up,Tincumbuuka
to set ablaze,Okucumika
I set ablaze,Ncumika
he/she set ablazes,Acumika
I have set ablazed,Ncumikire
set ablaze!,Cumika
I don't set ablaze,Tincumika
to cogitate,Okucumitiriza
I cogitate,Ncumitiriza
he/she cogitates,Acumitiriza
I have cogitated,Ncumitirizire
cogitate!,Cumitiriza
I don't cogitate,Tincumitiriza
to unblock,Okucumunkuza
I unblock,Ncumunkuza
he/she unblocks,Acumunkuza
I have unblocked,Ncumunkuzire
unblock!,Cumunkuza
I don't unblock,Tincumunkuza
to lean side ways,Okucuncurama
I lean side ways,Ncuncurama
he/she lean side wayses,Acuncurama
I have lean side waysed,Ncuncuramire
lean side ways!,Cuncurama
I don't lean side ways,Tincuncurama
flirting,Okucundana
to redeem,Okucungura
I redeem,Ncungura
he/she redeems,Acungura
I have redeemed,Ncunguzire
redeem!,Cungura
I don't redeem,Tincungura
to recover,Okucungura
I recover,Ncungura
he/she recovers,Acungura
I have recovered,Ncunguzire
recover!,Cungura
I don't recover,Tincungura
to rescue,Okucungura
I rescue,Ncungura
he/she rescues,Acungura
I have rescued,Ncunguzire
rescue!,Cungura
I don't rescue,Tincungura
to glitter,Okucunyiirira
I glitter,Ncunyiirira
he/she glitters,Acunyiirira
I have glittered,Ncunyiirizire
glitter!,Cunyiirira
I don't glitter,Tincunyiirira
to make a reed-wall,Okucuraanira
I make a reed-wall,Ncuraanira
he/she make a reed-walls,Acuraanira
I have make a reed-walled,Ncuraanizire
make a reed-wall!,Curaanira
I don't make a reed-wall,Tincuraanira
to be calm,Okucureera
I be calm,Ncureera
he/she be calms,Acureera
I have be calmed,Ncureezire
be calm!,Cureera
I don't be calm,Tincureera
To twist words,Okucurikanisa ebigambo.
I twist words,Ncurikanisa ebigambo.
he/she twist wordses,Acurikanisa ebigambo.
I have twist wordsed,Ncurikanisa ebigambo.ire
twist words!,Curikanisa ebigambo.
I don't twist words,Tincurikanisa ebigambo.
to mourn for,Okucurira
I mourn for,Ncurira
he/she mourn fors,Acurira
I have mourn fored,Ncurizire
mourn for!,Curira
I don't mourn for,Tincurira
to whistle,Okucuriza
I whistle,Ncuriza
he/she whistles,Acuriza
I have whistled,Ncurizire
whistle!,Curiza
I don't whistle,Tincuriza
to wean,Okucuusya
I wean,Ncuusya
he/she weans,Acuusya
I have weaned,Ncuusyire
wean!,Cuusya
I don't wean,Tincuusya
to develop segments,Okucwa engingo
I develop segments,Ncwa engingo
he/she develop segmentses,Acwa engingo
I have develop segmentsed,Ncwa engingoire
develop segments!,Cwa engingo
I don't develop segments,Tincwa engingo
to break virginity,Okucwa ensusa
I break virginity,Ncwa ensusa
he/she break virginities,Acwa ensusa
I have break virginitied,Ncwa ensusire
break virginity!,Cwa ensusa
I don't break virginity,Tincwa ensusa
to divide into pieces,Okucwa
I divide into pieces,Ncwa
he/she divide into pieceses,Acwa
I have divide into piecesed,Ncwire
divide into pieces!,Cwa
I don't divide into pieces,Tincwa
to dilute,Okucwa-amaizi
I dilute,Ncwa-amaizi
he/she dilutes,Acwa-amaizi
I have diluted,Ncwa-amaiziire
dilute!,Cwa-amaizi
I don't dilute,Tincwa-amaizi
to shorten,Okucwa-bugufu
I shorten,Ncwa-bugufu
he/she shortens,Acwa-bugufu
I have shortened,Ncwa-bugufuire
shorten!,Cwa-bugufu
I don't shorten,Tincwa-bugufu
to undermine,Okucwa-busa
I undermine,Ncwa-busa
he/she undermines,Acwa-busa
I have undermined,Ncwa-busire
undermine!,Cwa-busa
I don't undermine,Tincwa-busa
to chop,Okucwacwagura
I chop,Ncwacwagura
he/she chops,Acwacwagura
I have choped,Ncwacwaguzire
chop!,Cwacwagura
I don't chop,Tincwacwagura
to tatoo,Okucwa-engondo
I tatoo,Ncwa-engondo
he/she tatoos,Acwa-engondo
I have tatooed,Ncwa-engondoire
tatoo!,Cwa-engondo
I don't tatoo,Tincwa-engondo
to glance,Okucwa-eryera
I glance,Ncwa-eryera
he/she glances,Acwa-eryera
I have glanced,Ncwa-eryezire
glance!,Cwa-eryera
I don't glance,Tincwa-eryera
to mutually terminate friendship,Okucwana
I mutually terminate friendship,Ncwana
he/she mutually terminate friendships,Acwana
I have mutually terminate friendshiped,Ncwanire
mutually terminate friendship!,Cwana
I don't mutually terminate friendship,Tincwana
to destroy,Okucwekereza
I destroy,Ncwekereza
he/she destroys,Acwekereza
I have destroyed,Ncwekerezire
destroy!,Cwekereza
I don't destroy,Tincwekereza
to spit,Okucwera
I spit,Ncwera
he/she spits,Acwera
I have spited,Ncwezire
spit!,Cwera
I don't spit,Tincwera
to strip bare,Okucwijura
I strip bare,Ncwijura
he/she strip bares,Acwijura
I have strip bared,Ncwijuzire
strip bare!,Cwijura
I don't strip bare,Tincwijura
to double,Okudabura
I double,Ndabura
he/she doubles,Adabura
I have doubled,Ndabuzire
double!,Dabura
I don't double,Tindabura
to repeat,Okudabura
I repeat,Ndabura
he/she repeats,Adabura
I have repeated,Ndabuzire
repeat!,Dabura
I don't repeat,Tindabura
failure to get market,Okudiba
to command,Okuduumira
I command,Nduumira
he/she commands,Aduumira
I have commanded,Nduumizire
command!,Duumira
I don't command,Tinduumira
to boast,Okuduura
I boast,Nduura
he/she boasts,Aduura
I have boasted,Nduuzire
boast!,Duura
I don't boast,Tinduura
to cease to exist,Okufa
I cease to exist,Nfa
he/she cease to exists,Afa
I have cease to existed,Nfire
cease to exist!,Fa
I don't cease to exist,Tinfa
to care,Okufaho
I care,Nfaho
he/she cares,Afaho
I have cared,Nfahoire
care!,Faho
I don't care,Tinfaho
to be concerned,Okufayo
I be concerned,Nfayo
he/she be concerneds,Afayo
I have be concerneded,Nfayoire
be concerned!,Fayo
I don't be concerned,Tinfayo
to die for,Okufeera
I die for,Nfeera
he/she die fors,Afeera
I have die fored,Nfeezire
die for!,Feera
I don't die for,Tinfeera
to miss,Okufeerwa
I miss,Nfeerwa
he/she misses,Afeerwa
I have missed,Nfeerwire
miss!,Feerwa
I don't miss,Tinfeerwa
to be bereaved,Okufiisa
I be bereaved,Nfiisa
he/she be bereaveds,Afiisa
I have be bereaveded,Nfiisire
be bereaved!,Fiisa
I don't be bereaved,Tinfiisa
to waste or squander,Okufiisa
I waste or squander,Nfiisa
he/she waste or squanders,Afiisa
I have waste or squandered,Nfiisire
waste or squander!,Fiisa
I don't waste or squander,Tinfiisa
to dye,Okufooka
I dye,Nfooka
he/she dyes,Afooka
I have dyed,Nfookire
dye!,Fooka
I don't dye,Tinfooka
to be soft,Okufootooka
I be soft,Nfootooka
he/she be softs,Afootooka
I have be softed,Nfootookire
be soft!,Footooka
I don't be soft,Tinfootooka
to search,Okufooza
I search,Nfooza
he/she searches,Afooza
I have searched,Nfoozire
search!,Fooza
I don't search,Tinfooza
to strive for something,Okufuba
I strive for something,Nfuba
he/she strive for somethings,Afuba
I have strive for somethinged,Nfubire
strive for something!,Fuba
I don't strive for something,Tinfuba
to punish,Okufubira
I punish,Nfubira
he/she punishes,Afubira
I have punished,Nfubizire
punish!,Fubira
I don't punish,Tinfubira
to get cold,Okufuka
I get cold,Nfuka
he/she get colds,Afuka
I have get colded,Nfukire
get cold!,Fuka
I don't get cold,Tinfuka
to wrestle,Okufukaana
I wrestle,Nfukaana
he/she wrestles,Afukaana
I have wrestled,Nfukaanire
wrestle!,Fukaana
I don't wrestle,Tinfukaana
to kneel,Okufukama
I kneel,Nfukama
he/she kneels,Afukama
I have kneeled,Nfukamire
kneel!,Fukama
I don't kneel,Tinfukama
to fade,Okufukunkuka
I fade,Nfukunkuka
he/she fades,Afukunkuka
I have faded,Nfukunkukire
fade!,Fukunkuka
I don't fade,Tinfukunkuka
to embrace or cuddle,Okufumbata
I embrace or cuddle,Nfumbata
he/she embrace or cuddles,Afumbata
I have embrace or cuddled,Nfumbasire
embrace or cuddle!,Fumbata
I don't embrace or cuddle,Tinfumbata
to piece through something,Okufumura
I piece through something,Nfumura
he/she piece through somethings,Afumura
I have piece through somethinged,Nfumuzire
piece through something!,Fumura
I don't piece through something,Tinfumura
to break out,Okufumura
I break out,Nfumura
he/she break outs,Afumura
I have break outed,Nfumuzire
break out!,Fumura
I don't break out,Tinfumura
to be restricted,Okufundamira
I be restricted,Nfundamira
he/she be restricteds,Afundamira
I have be restricteded,Nfundamizire
be restricted!,Fundamira
I don't be restricted,Tinfundamira
to dilute a liquid,Okufungura
I dilute a liquid,Nfungura
he/she dilute a liquids,Afungura
I have dilute a liquided,Nfunguzire
dilute a liquid!,Fungura
I don't dilute a liquid,Tinfungura
to water down,Okufungura
I water down,Nfungura
he/she water downs,Afungura
I have water downed,Nfunguzire
water down!,Fungura
I don't water down,Tinfungura
to snort,Okufuniza
I snort,Nfuniza
he/she snorts,Afuniza
I have snorted,Nfunizire
snort!,Funiza
I don't snort,Tinfuniza
"to fold paper, cloth",Okufunya
"I fold paper, cloth",Nfunya
"he/she fold paper, cloths",Afunya
"I have fold paper, clothed",Nfunyire
"fold paper, cloth!",Funya
"I don't fold paper, cloth",Tinfunya
to become creased,Okufunyara
I become creased,Nfunyara
he/she become creaseds,Afunyara
I have become creaseded,Nfunyazire
become creased!,Funyara
I don't become creased,Tinfunyara
to fold something,Okufunyika
I fold something,Nfunyika
he/she fold somethings,Afunyika
I have fold somethinged,Nfunyikire
fold something!,Funyika
I don't fold something,Tinfunyika
to abbreviate,Okufunza
I abbreviate,Nfunza
he/she abbreviates,Afunza
I have abbreviated,Nfunzire
abbreviate!,Funza
I don't abbreviate,Tinfunza
to migrate,Okufuruka
I migrate,Nfuruka
