enkura	Rhinoceros
Endobo	Fish-hook
tukora ebifu by'ebimera okuruga mubifu byebimera	We make compost plant waste
kutoga kugenzire nikukeeha omumasomero	Teasing has been reduced in schools
noojunaanwa omusango gw 'okwemereza motoka omukiikaro ekitaikiriziibwe	You are charged with parking a vehicle in a no area parking
buteero	To fall
akabubi	Hymen: vagina membrane
ebitaraariire	Something that happens unexpectedlies
edubu	Sear
okusesira ebirimwa amaizi goruseke	Irrigation
obwasigaire oburo omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda k11tondogoroorra nyinenkunt bo oburo abagesi obu baasigire omumusiri	They have picked all the millet that was left unreaped in the garden; He/she refused to explain fully the cause of their estrangement; He/she his/her ordered children to go and reap the remaining millet that the reapers left in the garden for their grandmother
omuwendo	Price
kataito obu orukukatalikirizaamu abantu abandi nibaburwa 'okwikaarra	If you sit with legs apart in a small space, other people will not have where to sit.
teerateerana	Collide
ensooki	Insolent person
omutabani nuweyamutundiire embuzi ye; omusoro nugwo gwamutundize embuzi ye	It was son his/her who sold the goat on his/her behalf; It was due to tax graduated that he had to sell his goat
ebijuju	Tsetseflies
emboro	Penis
Wakame	Hare, Mr. Brer Rabbit
Ehonga	To dedicate oneself
akamunyegeerra habw 'okumutaaguurra orugoyerwe; ekiniga kikamutaaguza ebbaruha ezi akaba amuhandiikiire	He/she accusedhim/her for tearing his/her cloth; Indignation caused her to tear the letters he had written to her
akahuna	Silence due to suprise
ebiganyiro	Forgivenesses
tengeeta	shake, To quake, roll fidget, (boat)
obutiiko	Newly found excitements
ekikaali	King's or chiefs enclosure
amaiso	Eyes
bwoyooyo	Nothing at all
bungurya	Gulp
bugweterano	Inheritance, succession
Enamba	Hole in the earth
juga	To low, bellow, bleat
enteerabwire	Cock
amambukiro	Ford, landing site
ecundacu nda,	To rock oneself
-nkafuruka omuka	-I migrated from home.
bwarabwara	To crouch down, hide
compacompya	To be deceitful
obumeza	Stool,lockable desks
tercza	To cause to slip
akarwariro	:a clinic
ekisagiko	Ornament: hair beads
akadebe	Pail or bucket
toha	To grow thin and weak, look mournful
obukokomoko	Slopes
ekitabu nkitaire hameeza; nteera ekitabu kyange kinu hameeza; omukono gukateebwaho omuhilcirwa. the Prime minister signed. -ta	I have put the book on the table; Put this book of mine on the table; \ Modal particle, that requires a subj. Personal prefix or pronom. Concord to express an intorogative adv., meaning, how? Abakazi balima bata? How do women dig? Ente zijuga zita? Bow do cattle mow? Oroho ota? How are you? Taaba, e-, n.cl.9
ekidikizo	Idiom
ekikaijo	Sugarcane
butentebeke	Impossibility, difficulty
tusalira omwani nukyo twongeze amagesa	We prune coffee trees to increase yield
embuzi	A goat or sheep
bwekiiko	Bend, curve,tum
ebigene	Something done excessively
tamuza	To remove sucking calf from one teat to another so as to induce milk in all teats
rwebagyo mmuboinege naataaruuka; Baitu tiimmanyirege mbere abaire naataaruukira enaku nizimutaaruukya	Yesterday evening walking aimlessly and Icould not tell where he was walking to; Necessitfos are making him/her walk aimlessly
okusalira	Pruning
erabura	To insolent, inquisitive be
to make enter; Barwenda akataahisa empisi obugenyi. Barwenda a hyena to a wedding	Attend (he wedding; that wants trouble)
bwikizo	Refuge
Egonesa	To feign sleep
etembeeka	To presume, upon
abaana baahanwaga okutajumbulizaaga omumaka g 'abandi	Children were advised not to make very early visits to other peoples homes
-amata agafiire kunangwa gayine	-bad milk should be thrown away
tambuka	To stride across, step over
burungurungu	Alone
cekya	To weaken
esokoora	To clean, pick
cacaca	Sound made by footsteps
munywani we nuwe yamut1gandisize enju ye	It is his blood brother who helped him gather and carry wood for beginning to build his house
ekitinti	A patched garmen
1110/oka zikira kuteerateeranira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	Motor cars often in collid comers; It is overdriving while in comers that causes motor cars to collide
bunanu	Trustfulness,confidence
ebisonga	Chest pains
ebikora muhogo	Cassava leaves
kuguruka	To skip
obutima	:valve for a tyres
fubata	To be tightly covered up
ahukaniza	To separate, divide, differentiate
akatuzi	Small mushroom
ente ekuru,omukazi mukuru	Old cow, old woman
jegeja	To rain persistently
buhara	Girlhood,maidenhood
ebingonzi	Water waves
emiiti etangira okutwarwa	Trees prevent soil erosion
ekifubiro	Punishment, penalty
ebihururwa	Climbing plants
enaijoro	Sickle
akaara omuliiso	Pass finger in front of face scornfully
1110/oka zikira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	Motor cars often collid in comers; It is overdriving while in comers that causes motor cars to collide
ekyoto	Fireplace, hearth
enyahukana	Difference
enyuguta	Letter of the alphabet
ensasanure	Strippings from papyrus stems
ecundacu nda,	rock To oneself
ebiisamuhana	Large hornbills
erambira	To lick up one's
amaizi aga kwokya	Hot water
tusalira omwani nukyo amagesa twongeze	We prune coffee trees to increase yield
tahata	To bold or carry carefully on open palm
amasununu	Fresh milk
ebikondere	Necklace of headworks
buta	Be feeble
empaka	Argument, strife, dispute
kifaaro	Slemon, devil, evil spirit
ebituzi	Mushroom:a large size mushrooms
tembura	To build in a new place
enkunda	Red-tailed cercopitheque
ebinyabwoya	Woolly caterpillars
biikiza	To set down
ebibbaati	Old iron sheets
dundumuka	To very quickly
bwikaro	Place, residence, abode
amanogo	Tunnels by termites
amaganga/enkali ye'nte	Urine of cattle
byobwomeezi	Health,sanitation matters
ekinuuko	Stench: a bad smell
Ehungura	To put on airs
ekyezigolezo	Corner, turn, bend,curve
obunwa	Mouths
jwara ekiteteei ekirailr ire otaija kufuurra abantu; omuzaire we akamu j uuzaamu on1goye orutasemeriire k11jwarwa	Dress descently lest you show your private parts to people; Her parent made her take off a dress which was not good for her to put on
ekikunya	Stump of a tree
akateererereza omumaiso g 'omucwi weemisango nkook11 atarakikozire	He/ she denied before the magistrate committing such ever an offence
ekiisamuhana	Large hornbill
ekibonwomwe	A shooting star
entoole	frog, Water stupid person
toorana	be To well mixed
ebyetaago	Needs
ebikwasi	Safety pins
ekipaali	Papyrus mat
Endebolebo	Border, edge
akaswa	Small anthill
ekikungulima	A projecting thing
awutu ye'binyobwa bagikozesa kucumba	Groundnut oil is used for cooking
ekihika	Expectation, curiosity, for longing
batiza	To baptize
ekibindi	Clay wooden bowl
entemamuhoro	Mantis
ebyohyo	Roastings
ensunsunikizo	Extreme edge, unsafe place
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu nubo bakozire ekintu ekibi nanka; ebiteekerezo eby 'obusinge biteekerezibwa Ruhanga	God forbids us to think unfoundedly bad acts our neigbbbors; about Thoughts of peace are thought by God
ebiisa-mutuutu	Big brown birds
akairima	Darkness
obuniini	ground Finely millet flours
butanwa	Accidental occurrence
ebijaga	Syphilis
obu okaba orwaire obotao/11 11ubo boomutemeriire ebihimbo bye; bagen:u obokozi benubo baomulemiize ebihimba bye; ebihimba bye bikatemerwa obaraahi	When she was sick, it was the neighbours who planted her beans; It is her fellow women who helped her plant the beans for her; Her beans were planted by the neighbours
ekyokoora	Poison given by witchdoctors
tegura	To put in the proper place
bisanku	Dry cow dung
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga ebitooke bye biri omwirungu; ebitooke bye byamara emyaka ebiri bitakatemererwaga	He/she is looking for a person to free his/her banana plantation of weeds; Babimutemereza, the chiefs found his/her banana plantation overgrown with weeds and they forced him/her to free it of them, pass. Form, temererwa, ku-, oku-; His/her banana plantation has spent two years without being freed of weeds. Tengeetera tereza omusisa obu g111eera ensi yoona etengeeta, when the ea11hquake passes by, the earth qunkes
akasirimuko	sloppy place
abazaire obu baafiire boona yateekereza h 'okujeebeerra haamubura	When all bis/her parents died he/she thought of places where to wander about without success
bubi	Evil, harm;excrement
enjuza	Twisted papyrus ropes
enkwali	Quail
omuntu obu aba naija kukora ekintu omutima gwe gukateteenva eki aba naagya kukora akireka	When a person is about to do something and his/her heart hesitates, he/she gives upthe idea
jogoma	To rumble (flatulence), also dogoma, duguma
entungo	Sesame
amabere ge'mbwa	dog : teats
oburonkoronko	Trait of weaknesses
temura	Lr
ebibira	Forests
ebijunjuuzi	Beetles
noobu e11seene11e baazaahuragaliaiguru kwinganaki	Omusuma yasoboraga kuzitembeerra however, akaziiba, high grasshoppers would be kept, a thief would still climb up to steal them
tugesa ebitakuli hanyuma ya'mezi asaatu	We harvest sweet potatoes after three
torotoro	Adv.,yemeerra t.,stand erect. Tota, ku-, oku-, v.i
- fungwa ebijwaro	- she is holding up clothes or s ell.
edobo	Pail, bucket
empanuura	Advice, counsel, discussion
fumbagiriza	To elbow one's way through, to push out of the way
taruuka	To shed (skin, bark)
Ekugusa	To slip past
ekiho	Haze, mist, fog
tumbika	To into dip (e.g. Food into salt} = cumya
akasarre	Danger, difficulty
burubatiro	Tread of foot, sole
Wceb holeke	Beet that has stood for four or five days
ekitooma	Ficus tree
empooza	Taxi dues, levied, customs
ekiranga	A pot broken
ebibako	Tombs
ekinfll kitentera haba heculikire; Wakame yatensaaga ebibaale bigya bileera ayabaga aizire kumukwata	Something rolls where there is a Wakame slope; used to roll stones down the slope and hit those who came to arrest him
ebyokulya ebyamurwaize akabimutiihiikira owaabu	The food made that him/her sick, she stuffed to him/her while at her home
anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka	One who hastaken shelter from rain and bas a longjoumey to cover will not wait it ceases
ebyasa	Century: a hundred yearses
esweka	cover oneself
tokoora	& v.tr
ebyokulya ebirukucumbwa obu obona byatungira; munywani we nuweyamuhmgiire omulimo	Buli byaijakuhya, when you see food that is cooking steaming that means it is about to be ready; It is his friend that got her ajob
eby'ensekuro	Pestles
omuyaga niguteera; omutima nigumuteera	Wind is blowing; His/her heart is throbbing
kuraranja	To scatter, exhaust
toorra	To weed (bean, millet)
kame	Hare
empwite	Very old person, senile
bwckanasi	Laziness, indolence
omwana afundwize kuturuka	The baby is showing signs coming of out of the womb
omusana gutuuyisa omuntu obu agukoorraamu emirimo	The sun beat will make a person if sweat he/she works under it
akahanda kafunzire nikalemesa arukujaagira kukajaagiirraamu	A narrow path makes it difficult for a straddler to straddle in it
kuhonda	crush, To pound
teneka	{pf. -tcnekere)
ensandaigo	of Border mat
tagaarra	take up much space, spread out, extend
enkorro	cough
emboni	Pupil of the eye
abasaija baat1mguruurra bakazi baabo enfuka	Men fastened hoes firmly to handles for their wives
omuntu atundubara obu aikaarra omubantu akatunuurra kwonka ataina kintu kyona eki arukubaza	A person is sluggish when he/shesits among people without making anycontribution
obulemu obw 'okucungw·a Uganda bukatandikira luwero; Tusiime agonza muno omwegesa we ayamutandikisize kusoma n 'okuhandiika; obulemu obwa kabiri obw 'ensi yoona bukatandikwa Adolf Hitler (1939 - 1945)	The war to liberate Uganda started in Luwero; Tusiime loves his teacher who first taught him how to read and write; The second world war was started by Adolf Hitler in ( 1939 - 1945)
emitalibaine	Problems, worries, difficultie
buhulizi	Order,discipline, obedience
buhate	Spitefulness
bwongo	Brain
ebitooma	Ficus trees
ekiremba	A head- cloth
enteekateeka	One's opinions and ideas
Ebyahyaniza	To fidget
abalisa	Herdsman's whistles
jabanganiza	To talk or rapidly indistinctly, mispronounce
akatiiko	Newly found excitement
amacunda	Churned milk
embunduguru	Rounded or rotund object
bwenda	Generosity,liberality, bounty
Ebwa	To forget
akaleecu	Some peace
boroogo	Wailing,lamentation
kwata mungaro	To catchin the hands
oburwaro	:a clinics
buhamizo	Stronghold,support, influence
buhoole	Insolence,self-wi ll, naughtiness, profligacy
ebijwaro	Garment, wears
okomunyegeerra hobw 'okumutemuurro ekiteeteei; ekiniga kikamutemuza ebboruho yamuhondiikiraga zoona	She accused him for tearing her dress; Indignation made her tear all the correspondences he used to receive from him
bwanda	Yellow stonecrop
ekihangara	Palate
teereza	, of teera
ekifunjo mururuma	Large intestine
dalizi	Woven border on cloth
jabagira	To bubble, seethe. Jabajabuka
tugesa ebitakuli hanyuma ya'mezi asaatu	We harvest sweet potatoes after three months
akatungamya omutwe gw 'ekifaalisi hakitabu n 'ekisago	He/she raised the head of the mattress on the bed with a pillow. Tungama,ku-, oku -, v.tr
bwiru	Slavery
buke	Littleness, fewness
Eganyiirra	Become lazy
Ekingira	To shut oneself in
kasisira	Small hut
Yesu Kiristo akatufeerra hamusalaba	Jesus Christ died for us on the cross
engo	Leopard
bwisi	Murder
ebibunda	Dull rainy days
ebikoreso	Materials. 2) utensils
jungutuka	To be moist and soft (soil)
buheereza	Service
embwa bakagitukira busa ngu ebwagwire obwana mukaaga kamu yaka/ya	People defamatorily ran down the bitch to say that it gave birth to six puppies and ate up one
bwahuzi	Storing up,stewardship
togolekwa	To speak incoberently
muyaye	:sarcasm
tumbuka	To swell into a lump, grow into a mature person
tuguojura	H:
ekitabujuguta	Civet-cat
enziiki	Burial fee
faakuuza	To make a rustling noise (e.g. Animal in grass), scuffle
juumura	To tum right way up; come to the help of;
faahongana	To mind each other, care for each other
enganjani	Friend
tura	To out set to work
tandukuurra	To unsaddle, away clear
mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru; omusuubuzi atwnisize egaali ikumi; ebihimba obu babita omumaizi bitumba; t. ebigambo	The land lord his sent son to bis/her tenants for the house rental; The trader ordered for ten bicycles; Beans when put in water will swell; Exaggerate matters
