muhogo	throat
ente eny akuteegere ejuukira nambere enimi eri	the cow will understand you when you wake up and tell you the language
juumara	fever
juumib	the juumib
kulinda obwana bw'enkoko ebihungu abantu ba ira baabujuumikiraga ekigega	waiting for the young chickens the people of ira kept in the barn
juamilcinna	the day of the week
akamusaba amuj11umuku 11rre ekigega arole ekiri lransi yakyo	he asks her to come to the bank and see where the money is
juumura	relaxation
juura	time of day
jwara ekiteteei ekirailr ire otaija kufuurra abantu; omuzaire we akamu j uuzaamu on1goye orutasemeriire k11jwarwa	wear a seat cushion so that you don't get too close to people; if a parent asks you if you shouldn't be wearing a seat cushion
juurra	the sun
juuruuka	flying
orugoye akaba aibire bakarumujuulizaamu omumaduuka	a robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery robbery rob
juza	cold
jwa	of
izooba litujweriire; Ruhanga af wisa omusana	the sun is shining; God gives light
jwabiirra	be self-sufficient
jwabira	be careful
e zijwabiriire ebisajwa; nfwahire kubahaga ebiragiro bya11ge nimubicwa; abagenzi bajwal11ra muno hakutemba ensozi; abaana bato bajwahibwa kumara obusumi bwingi baikaliire	They are dressed in old clothes; I have given them orders to be killed; friends are walking in the mountains; little children are allowed to live for long periods of time
jwabisa	shelter
jwahuka	disruption
jwahukilrra	the jwahilrra
jwaburuka	flower
jwamba	July
jwambura	pulling away
jwangana	be self-sufficient
tegwire	not falling
ta	not
ekitabu nkitaire hameeza; nteera ekitabu kyange kinu hameeza; omukono gukateebwaho omuhilcirwa. the Prime minister signed. -ta	the book is not on the table; I put my book on the table; the signature is placed on the translator. the Prime minister signed. -ta
taabaana	children
isebo obu yafiire bakataabaanira omubiikaro ebitali bimu; okufa kwa isebo kuka bataabaniza	father's death, they take different positions; father's death, they take different positions
taabataabaana	not having children
nitutaabataabanira omunsi omw 'iguru tuliiteekaana	if we don't fight in heaven we will fight each other
taaga	tobacco
omusaiJa amutaagisize; akakira kutaagisibwa kumuteeza eldJumbura	the driverJa did not stop him; he refused to stop him eldJumbura
taagataagura	does not divide
ekisoro embwa zikakitaagatagurazaakirya kyona	the dog's cage
taagira	does not
akataagira owanyina kwija kumuJunira, baitu yasangwa ataroho	he did not ask his brother to come to him, but he was not there
taaguka	does not fall
-aminah ataaguka muno	-aminah doesn't come here
taagura	does not buy
akamunyegeerra habw 'okumutaaguurra orugoyerwe; ekiniga kikamutaaguza ebbaruha ezi akaba amuhandiikiire	he found out that he was cheating on her; he was furious and tore the letters he had written
taaha	home
obugenyi; banywani be baizire kumutaahira obugenyi; obugenyi bw'omutabani bukataalrwa abantu baingi	guests; his friends have come to make a feast for him; the son's feast is attended by many
taahtirra	the taahtirra
Bahemuka araire ataahiriirwe abasuma	Loyalty is not for thieves
taahira	he doesn't
taahirirwa	unhappy
-ogu ataahiririrwe omwegenderezeege obu araabaga noobaza nawe	- a person who is not careful when he or she talks to you
taahirwa	unhappy
ira omun111 obu yataahinvaga abagenyi yayetaga abantu ab 'okwija kubaza nabo	iraun111 when he didn't have visitors he needed people to talk to
to make enter; Barwenda akataahisa empisi obugenyi. Barwenda invited a hyena to a wedding	to make enter; Barwenda invited a hyena to a wedding
taahisa	he does not
omunyoro akataahya omufuruki 0mu kibanja ekikaba kiri kya Bisereko	a flower that doesn't burn a flower in a field that belongs to Bisereko
taahya	not new
obu akaba naamara obuheereza bwe mb '0mukama akataahya enyana; t. omukazi	When I finished my ministry, I was a man who did not feed the calf; t. a woman
taahya	not new
-kinwa kya nte kitaahibwa Rubaga	- the mouth of the witness is not broken
taakura	he does not grow up
enkoko kutaakuurra obwana bwayo obuhuka etaakuza enono zaayo	a chicken that does not lay its eggs
taama	not
taamataamura	does not understand
ekiniga kikamutaamataamuza ekisisani bakaba batiirwe bombi	the anger is so strong that both of them are killed
taamuka	does not wake up
orugoye rwe rukataamukira omukizaaniro nibazaana	his garment stretched out for the assembly
taamura	he does not know
akamulehesa habw 'okumutaamtwrra orugoye rwe	he told her because she tore off his clothes
taana	today
ebibanja byabo nibitaanira hakasozi eruguru	their flocks look out over a hill
taaruuka	not flying
rwebagyo mmuboinege naataaruuka; Baitu tiimmanyirege mbere abaire naataaruukira enaku nizimutaaruukya	I'm not sure I'll be able to make it, but I don't even know if I'll be able to make it.
taata	father
-Oraire Ota Taata?	- Where's my dad?
taatlirra	does not weep
Mukama akagamba ali Weena anya kutaatii"a obw 'omeezi bwe alibufeerwa	The Lord says whoever doesn't listen to this message will lose it
taba	not
erangi z'omukeeka gunu itabire	the colors of the rainbow
taba	not
ekinyege kyange nyamutaba kyantaba n'abataahi; enkinzo batabisa omukeeka bagyeta orukato	I've never been in a relationship with a man; I've never been in a relationship with a woman.
tabaara	light
akamutuma kumutabaliirra egaali ye; akamusaba kumutabaaliza ebintu bye	tells him to stop his chariot; asks him to stop his goods
Tabaarukya Tabaaza	They Did Not Turn Out the Light
obutamanya butabaaza araafa; omukama atabaazibwa abantu baingi muno	ignorance of the light dies; the Lord is not illuminated many people here
tabaijuka	do not remember
- akateerwa enkonge yatabaijuka yagwa,	- he stumbled he didn't get up he fell,
tabaijura	not satisfied
tabanganiza	they did not
tabanguka	is unyielding
tabatabuka	does not break
tabika	not appearing
tabira	do not
tabirana	not marrying
tabiza	he/she/it does not
tabuka	not run away
akatabukira hake kufa	shortly before death
tabukatabuka	does not break
tabura	the tabura
-Akamutabuurra hake kumutomera	-He's a little slow to bite
tabya	not
tadooba	do not drown
taga	go away
omwana obu aba ali omba nyinenkuru ataga	when a child is a toddler
tagaarra	he/she/it does not
abaikoarra omumatoko bafunzire tibatagaraza maguru gaabo	carpenters learn not to show their feet
tagaija	will not
kutagaija kw 'abaana kookuroorraaho k 'eko erumu okusemererwa; babairege nibatagaizira omuzigati y'owaabu	The arrival of the children is a delight; let them eat their own bread.
tagaizira	does not give up
tagangara	he is not
tagasa	worthless
amaizi bagatagasiza omusafaliya	water to wash a traveler
tagata	not
amaizi gatagatira esaaha nke baitu gatwara esaaha nyingi kufako	water does not take a few hours but many hours to die
tagiza	do not
taha	the house
omuntu mukuru obu agenda haiziba, asemeriire kumutahira amiazi,	If a man is old enough to walk, he ought to wash his feet.
tahata	not at all
amata gatahatwa ayagatahasire	unpasteurized milk
tahisa	not in time
tahuka	does not fall
tahura	not see
omubazi anywire gumutahwire muno gwamumara amaani	a drunkard who drank too much and lost his strength
tahyatahya	not new
taiga	the taiga
taisa	fear
taisuka	does not exceed
akaba naagya kuhandiika ekalaamu yamutaisuka yagwa; akataisukira om11muhanda yain1ka yamusig a	he was going to write a pencil but it fell off; the one who was crossing the street just left him
taisukaniza	is not unreasonable
abateezi b'entomihobo n 'omumu w 'olmbataisukaniza omukuteerangana kwabo	the thieves and one of the thieves did not stop their gathering
taisura	not visiting
omuhiigi obu abona enyamaiswa ataisura embwa ze kugihambya; omusaija ayataisuliire abagenzi embwa ze bakamutaho omusango; omunyankomo ataisw1n11e	a hunter who does not let his dogs catch him; a man who does not let his dogs catch him; a murderer who does not kill
Tajeemerwa	He Is Not Disobedient
talibana	not having children
-namwandu atalibana muno wenka omumakage.	- a widow who is not alone.
taliga	he will not
-taata ataliga muno buli runaku.	- My father doesn't come here every day.
taliikiriza	does not accept
taliiriza	is not complacent
nkabasanga beemeriire omumuhanda hagati Nyowe nata/iiriza mpora nabarabaho	i find them standing in the middle of the street i never see them
talika	not
obu anywa amaanva; kira ebiro bisalu	when drinking vegetables; for a few days
talikiza	does not heal
akaanya kataito obu orukukatalikirizaamu abantu abandi nibaburwa h 'okwikaarra	a small moment when you interrupt others and they are unable to control themselves
taliza	he will not
tama	Try to
akantamira orugambo nve; obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	If you speak evil of your neighbor, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer, you are a murderer,
tamba	start
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police often catch a thief who has just invaded the village; the gunman plays a little money here; he plays with 'Ekitooro's rivers; this disease is caused by robbers
tambikiza	speak
toina mbere oratambikiriza amagun1, Omwanya oikaliremu mufunda	you don't even have to move your legs1, you don't even have to move your feet1, you don't even have to move your feet1, you don't even have to move your feet1, you don't have to move your feet1, you don't have to move your feet1, you don't have to move your feet1, you don't have to move your feet2, you don't have to move your feet2, you don't have to move your feet2, you don't have to move your feet3, you don't have to move your feet3, you don't have to move your feet3, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet4, you don't have to move your feet
tambuka	walk
akamttjunaana habw 'okumutambukira ebyokulya	he owes her for bringing him food
tamburra	to walk
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	the animal's skin; the meat of the animal is only eaten by those who eat it
tambuurra	not hearing
tamiira	to stop
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	They will be drunk with the poison of bitterness; they will not be made drunk with the poison of bitterness
tamiirukuka	do not run away
obu yatamiire akatamiinikukira ekiro kyo11a; ebicwe by'enyama nibyo byamwamiinikukize	when he was drunk he got drunk on the 11th night; meatballs were the cause of his drowning
tamika	start
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	the patient is sedated by the force of the bending; the person is sedated by food rather than vomit
tamura	tamarisk
amata abaire naanywa abasuma bagamutamwire kwiba ente ye	milk he ate and drank thieves told him to steal his cow
tamuza	does not come
tamwa	do not give
tamya	not afraid
ekillooya kye kitanire; ataniire Kasunganyanja; atanire kumanya habwaki omwana wange atii1·e owe	his dream is over; he is not afraid of the sea; he does not know why my son is afraid of you
tanaka	the tank
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	children are not allowed to ride the bus; there are toilets for the sick
tananuka	get up
tanda	the bed
amaguru	feet
tandaaza	he/she/it did not
enju ye abafundi bakagitm1daaliza ebiro bisatu	his house the students are still waiting for him for three days
tandagaraza	he does not calm down
tandalika	before
tandama	the tail
tandiika	start
tandika	start
obulemu obw 'okucungw·a Uganda bukatandikira luwero; Tusiime agonza muno omwegesa we ayamutandikisize kusoma n 'okuhandiika; obulemu obwa kabiri obw 'ensi yoona bukatandikwa Adolf Hitler (1939 - 1945)	the second world war started by Adolf Hitler (1939 - 1945)
tandukuurra	I'm not going to
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	When we had finished eating, he said, "Let's go".
Tangiira	How to Get Started
tangaara	light
abantu bakatangaarra ebyamahano yabakoorraaga	people are still talking about the horrors he has done to them
tangaaza	announce
tangiirra	start
Omuroleerezi bamutangiririire omumaduuk.a Fort po11al; omukuras1 wabo bakamutangiriza elcimuli; akabatangisiza habw.okugya habbaasi	A tourist is picked up from the market at Fort Po1al; a tourist is picked up from Elcimuli; a tourist is picked up from the bus
tanisa	start
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	He learns to clean his limbs; the cows have their marketplace where they are not fed; the butterflies are cleaned by Hima's caterpillar
tanuka	not to get up
ekihooya kye kibaire kyas1sana ekirukwoma; ira amaiz1 g'enjura bagatangiririzaga hkitooke rundi hamutoma; Busaho n 'omu ayamanyire ekyamutanuukiriize 11a mugenzi we	His shoulder was broken, and when it was raining, he was not able to stand; so no one knew what had happened to him.
tanwa	mouth
tara	light
omuntu obu ataarra omubantu abatamumanyire tabatungiramu businge; enaku nizo itaza omuntu	When a person doesn't respect strangers, he doesn't feel safe; it's the sadness that makes him feel bad
tara	light
obu yasangire amahe gaatara haka ye aho yamanya; enjuye akagitalilwa omufundi ayayegesiibwe omu byamaju	When he finds the light, he goes to the place where he knows it; he goes to the house of the teacher who has been trained in magic
taraaka	the truck
akarabya nwtoko ye omumaizi g'omuruguudo amaizi gaataraaldra abantu	akarabya nwtoko is a street water heater
tarama	the tarama
tarantuka	he doesn't
taruka	the date
taruuka	the date
tata	father
tatento	the tatento
taza	see
teba	not
teba	not
omuntu amanyire ebyenseke nuwe atebera abanyubenyzmgu enseke	a person with a sense of humor is the one who recognizes people with a sense of humor
teba	not
abaisiki abamu bakira muno klltebwa aboojo	Some of the mosquitoes are killed by mosquitoes
tebeekana	do not get along
tebeekaniza	unprepared
tebeekera	do not make plans
tebeekera nk 'owaatwanwa amaizi	they don't act like they're drowning
tebeekeza	do not compare
atebeekiize hati kuvuga matoka	ready to drive
tebeza	not trying
akatebereza Namugongo abasomi boona baamugayuka	Aktebereza Namugongo all the readers admired him
tebura	the table
tebya	not
ebigambo ebi bitebiibwe abahuliirege orubazo rwe	the words that were spoken to the audience
teeba	not
Byengonzi akateebera tiimu ye gooro ibiri	The team is divided into two groups.
teega	to learn
ente ze zikaburwa enimi ey'okuziteegesa	the cattle are divided into languages
teega	to learn
teeka	the law
teeka	the law
amaarwa	wounds
teeka	the law
enyaanya bakaiteekera abaguzi	what they put out for the customers
teekaana	be calm
obugenyi abuteekaniriize omutabani arogire Bulaaya; akagenda kuteekanizisa Rwakijuma obugenyi bw'omutabani	a guest to arrange for her son to go to Europe; she goes to arrange for her son's guest on Sunday
teekera	do not
emihyo n 'amacumu baabiteekeerra hamahyoro; abantu abandi bateekeza muyamba	spears and javelins were placed at the edge of the wall; other people carried spears and javelins
teekereza	think
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu nubo bakozire ekintu ekibi nanka; ebiteekerezo eby 'obusinge biteekerezibwa Ruhanga	God gives us no reason to think that others have done something wrong; peaceful thoughts are God's
teekura	not slowing down
ow'okumuteekuurraaho ebyokulya bye akamubura; habugenyi abasaija nubo bateekuzaaho abakazi ebyokulya hamahega; ebyokulya bikateek:urwaho abasaija bonka	If a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, women are deprived of it; if a man does not prepare their own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it; if a man does not prepare his own food, he is deprived of it.
omuyaga niguteera; omutima nigumuteera	the wind is blowing; the heart is blowing
